Timestamp,From Bank,Account,To Bank,Account.1,Amount Received,Receiving Currency,Amount Paid,Payment Currency,Payment Format,Is Laundering
2022/09/06 12:19,113523,8054100E0,211,80A27C700,23883.86,Australian Dollar,23883.86,Australian Dollar,ACH,1
2022/09/08 02:09,237316,810953800,28627,811022490,158.85,Euro,158.85,Euro,Credit Card,0
2022/09/10 09:24,1267,803612DF0,35303,8128801F0,334.14,Yuan,334.14,Yuan,Cheque,0
2022/09/06 03:38,2915,80693BC00,29814,80BB289A0,11442.49,Euro,11442.49,Euro,ACH,1
2022/09/07 08:49,70,100428738,24,8039E1950,72826.37,Yen,72826.37,Yen,Cheque,0
2022/09/08 22:56,14381,805C31EC0,13157,805C35220,213703.77,Rupee,213703.77,Rupee,ACH,1
2022/09/10 11:03,28827,8116C5810,116845,8116C5860,1164.72,US Dollar,1164.72,US Dollar,ACH,1
2022/09/07 17:34,111491,809D4EB30,4866,80C2FF620,152.01,US Dollar,152.01,US Dollar,Credit Card,0
2022/09/11 15:04,215841,80EC7E760,19888,8079DDC30,10129.71,US Dollar,10129.71,US Dollar,ACH,1
2022/09/05 16:18,20,8002012F0,16847,8078C7B40,1055.92,Euro,1055.92,Euro,Cheque,0
2022/09/08 05:00,5175,80416BDE0,8539,80416BE80,302.78,Euro,302.78,Euro,ACH,1
2022/09/04 11:32,70,100428810,22155,8138BC4B0,2517.81,UK Pound,2517.81,UK Pound,Cheque,1
2022/09/07 08:35,71,804BE11F0,12,804C61EF0,63525255.03,Rupee,63525255.03,Rupee,Cheque,0
2022/09/05 16:39,117435,8073E1700,18405,8073E17F0,334138.38,Ruble,334138.38,Ruble,ACH,1
2022/09/09 23:18,11157,80082E940,122080,80BC11190,679.11,US Dollar,679.11,US Dollar,Cash,0
2022/09/01 13:06,3335,8068A6340,16847,808807560,201.83,Euro,201.83,Euro,Credit Card,0
2022/09/09 11:21,1292,800193840,10,8001EC830,2665485.11,US Dollar,2665485.11,US Dollar,Cash,0
2022/09/01 08:49,22732,811A06780,24161,811A06AA0,4995.37,US Dollar,4995.37,US Dollar,ACH,1
2022/09/02 15:21,17327,803BABC90,14387,80AFB4F80,2198740.92,US Dollar,2198740.92,US Dollar,Cheque,0
2022/09/03 08:27,21745,803366440,116843,806F416F0,391296.46,Ruble,391296.46,Ruble,ACH,1
2022/09/02 20:33,122702,80F258D80,113744,80F2591D0,1719.38,US Dollar,1719.38,US Dollar,ACH,1
2022/09/01 10:31,16678,8074BCCA0,16678,8074BCCA0,1910.75,Ruble,1910.75,Ruble,Reinvestment,0
2022/09/09 04:05,3149,80AE9CFA0,28694,80BDA5C30,3161.92,US Dollar,3161.92,US Dollar,Cheque,0
2022/09/10 00:30,1674,80068DB50,111425,806A20680,12552.07,US Dollar,12552.07,US Dollar,ACH,1
2022/09/02 04:29,2627,8017C9E10,12381,801BFD420,248.06,US Dollar,248.06,US Dollar,Cheque,0
2022/09/06 17:16,1665,805006460,28771,805007420,42455.36,US Dollar,42455.36,US Dollar,ACH,1
2022/09/05 02:10,6,804BC2A10,112497,804EF6DF0,933424.66,Rupee,933424.66,Rupee,ACH,0
2022/09/15 10:57,118,811B6E170,249118,814965B00,40684.73,Saudi Riyal,40684.73,Saudi Riyal,ACH,1
2022/09/05 17:37,28827,80905C090,6129,811ECBF70,22598.9,US Dollar,22598.9,US Dollar,Credit Card,0
2022/09/07 06:07,70,100428660,1292,8003C5E60,1631.0,US Dollar,1631.0,US Dollar,Cheque,0
2022/09/08 14:50,2627,8013F90B0,17649,80D26F0E0,2472.05,Euro,2472.05,Euro,ACH,1
2022/09/02 05:36,11107,80148B7A0,24132,80191F480,571.23,US Dollar,571.23,US Dollar,Cheque,0
2022/09/07 03:14,4242,802B47420,211075,80FCC2D80,1392.42,US Dollar,1392.42,US Dollar,ACH,0
2022/09/07 17:28,11056,800C838F0,111121,80437F280,102.79,Euro,102.79,Euro,Cheque,0
2022/09/01 00:01,211,807C59690,211,807C59690,9.78,UK Pound,9.78,UK Pound,Reinvestment,0
2022/09/12 09:10,12963,8016C37F0,2947,807A67940,6854.35,US Dollar,6854.35,US Dollar,ACH,1
2022/09/02 06:34,28183,806D3F870,29069,806D3FF80,1105.61,Euro,1105.61,Euro,ACH,1
2022/09/02 06:50,23,800207350,18428,805B3CD30,35.99,Euro,35.99,Euro,Cheque,0
2022/09/08 19:28,70,1004287C8,16792,806326CE0,60873.33,Ruble,60873.33,Ruble,Credit Card,0
2022/09/09 08:29,135981,80F984C70,219860,80B5B33D0,7136.67,US Dollar,7136.67,US Dollar,ACH,1
2022/09/03 21:13,134976,80D6690B0,136353,80D8C3070,39327.74,Brazil Real,39327.74,Brazil Real,Credit Card,0
2022/09/01 21:01,29251,8052D01B0,137196,8105540C0,16482.2,US Dollar,16482.2,US Dollar,Credit Card,0
2022/09/01 00:28,330453,80B8273F0,13067,80B8275D0,0.02,Yuan,0.02,Yuan,Cheque,0
2022/09/07 08:48,1,800937AF0,1588,800C1E350,8523.67,US Dollar,8523.67,US Dollar,Cheque,0
2022/09/07 01:19,1,806C195E0,12,809812E90,3001.66,US Dollar,3001.66,US Dollar,Cheque,0
2022/09/01 07:19,1299,80107EC30,11852,8016777F0,191.38,Euro,191.38,Euro,Credit Card,0
2022/09/05 09:17,3229,80164E070,222268,80810A530,71.02,UK Pound,71.02,UK Pound,Credit Card,0
2022/09/13 06:06,3149,8032FADC0,20,801A29950,4796.72,Euro,4796.72,Euro,ACH,1
2022/09/08 14:44,148348,811F69AC0,48943,8127BF300,110407.96,Saudi Riyal,110407.96,Saudi Riyal,Wire,0
2022/09/01 20:20,15010,803CFE0F0,21745,807D68B90,48357164.64,Euro,48357164.64,Euro,Cheque,0
2022/09/01 00:03,1124,8066B44D0,18324,809BCD300,525328.16,US Dollar,525328.16,US Dollar,Cheque,0
2022/09/09 03:38,17649,80D26F0E0,221279,80C0D3710,2531.01,Euro,2531.01,Euro,ACH,1
2022/09/04 08:31,28531,80A709C90,132523,80CA77970,3169.54,US Dollar,3169.54,US Dollar,ACH,1
2022/09/09 03:56,313586,804F0FBA0,16,804F0C220,78559.04,Rupee,78559.04,Rupee,Cash,0
2022/09/05 07:27,11,801E7BAE0,25536,80D9EB160,284.98,Euro,284.98,Euro,Cheque,0
2022/09/07 16:51,12,80582E020,225589,80E691910,1254.2,Euro,1254.2,Euro,Cheque,0
2022/09/01 07:15,1588,801ABC430,241869,80F390FC0,10475.35,Swiss Franc,10475.35,Swiss Franc,ACH,1
2022/09/02 07:03,1669,802646860,31820,81047A510,76077.41,Euro,76077.41,Euro,Wire,0
2022/09/13 05:48,19,8000AEDD0,12,8000FFBD0,2529.15,Euro,2529.15,Euro,ACH,1
2022/09/01 04:02,70,1004286A8,16388,8128DB480,724.61,Euro,724.61,Euro,Credit Card,0
2022/09/05 23:44,210319,80422E600,10656,80422F080,275162.83,Yen,275162.83,Yen,ACH,1
2022/09/09 09:34,321729,812CA4A40,122405,812CA4230,1606.11,UK Pound,1606.11,UK Pound,Credit Card,0
2022/09/03 14:48,211,807F03400,7,8087E3AE0,173.62,UK Pound,173.62,UK Pound,Cheque,0
2022/09/13 11:01,113304,805F23670,11128,80465E020,1689246.28,Yen,1689246.28,Yen,ACH,1
2022/09/05 07:06,11296,800D47790,16586,802777D80,1692.65,US Dollar,1692.65,US Dollar,Cheque,0
2022/09/02 05:31,24,8039DF200,29467,8040C7E90,12649.99,Yen,12649.99,Yen,Cheque,0
2022/09/04 19:11,214050,80537F610,17554,806C8F2A0,349281.29,Ruble,349281.29,Ruble,ACH,1
2022/09/01 01:52,1729,8008CEDE0,2824,8037BC3F0,598.74,US Dollar,598.74,US Dollar,ACH,0
2022/09/10 20:16,28,8000B4150,32564,80C17A100,3844.76,Mexican Peso,3844.76,Mexican Peso,Cheque,0
2022/09/07 16:17,27621,80A1DEEB0,19,80A19A4A0,6364.04,Australian Dollar,6364.04,Australian Dollar,ACH,0
2022/09/05 18:02,26,807C44410,120292,807EDF5F0,32.04,UK Pound,32.04,UK Pound,Cash,0
2022/09/01 00:25,1686,81009D8B0,1686,81009D8B0,21.45,US Dollar,21.45,US Dollar,Reinvestment,0
2022/09/09 20:22,1729,8003F5C70,14099,801D1F1E0,1593.6,US Dollar,1593.6,US Dollar,Cheque,0
2022/09/07 05:40,21611,800F41B10,28771,806406D10,9445.13,US Dollar,9445.13,US Dollar,Credit Card,0
2022/09/02 06:59,8623,80B8EAF40,115700,80B8EB480,27614.09,US Dollar,27614.09,US Dollar,Cheque,1
2022/09/02 22:34,17554,8066128E0,117435,80714B9B0,24332.03,Ruble,24332.03,Ruble,Credit Card,0
2022/09/06 23:04,119,812A09CF0,119,812A09CF0,30855.39,Saudi Riyal,30855.39,Saudi Riyal,ACH,1
2022/09/10 04:26,13184,804B32520,3,804D8B500,11729.9,Rupee,11729.9,Rupee,Cheque,0
2022/09/06 00:06,43818,8115A16F0,243897,810846EC0,28.61,Shekel,28.61,Shekel,Credit Card,0
2022/09/09 13:02,29685,80F576BB0,13057,8080B4A60,67986606.57,Euro,67986606.57,Euro,ACH,1
2022/09/04 15:26,1024,800ADE220,3335,8014F5CA0,26752.4,Euro,26752.4,Euro,Cash,0
2022/09/01 05:02,1729,800B03470,1244,801920F50,109.01,US Dollar,109.01,US Dollar,Cheque,0
2022/09/02 07:15,138335,80E445AB0,39721,80F1CF630,1797.16,Swiss Franc,1797.16,Swiss Franc,Credit Card,0
2022/09/08 03:02,29,80CDEB9B0,135034,80D8DAEF0,15914.14,Brazil Real,15914.14,Brazil Real,ACH,0
2022/09/02 09:03,1467,8018B9D00,243807,8101F97E0,3904.64,US Dollar,3904.64,US Dollar,Cheque,0
2022/09/10 19:24,1241,801774BC0,1420,800A624A0,3597.03,US Dollar,3597.03,US Dollar,ACH,1
2022/09/12 10:32,4503,8086C1DC0,33245,80EBE7E20,16169.34,Euro,16169.34,Euro,ACH,1
2022/09/09 10:39,26818,80355C180,3881,8035630F0,6638.36,Euro,6638.36,Euro,ACH,1
2022/09/06 22:11,9679,80452D470,23691,80264C1F0,2914.56,Euro,2914.56,Euro,ACH,1
2022/09/06 17:07,9665,8039C5880,9665,803DFABC0,9056.83,Yen,9056.83,Yen,Cheque,0
2022/09/07 16:58,70,1004286F0,18067,80EF92E90,19678.06,Yuan,19678.06,Yuan,Cheque,0
2022/09/02 00:47,28611,80AD61E20,28779,80AD62440,6433.8,Australian Dollar,6433.8,Australian Dollar,ACH,1
2022/09/02 22:09,12797,8044D0540,26818,8044D0BD0,3247.72,Euro,3247.72,Euro,ACH,1
2022/09/08 04:48,2591,800F50660,2915,8049129D0,315864.92,Euro,315864.92,Euro,Cheque,0
2022/09/01 14:37,227406,813814C00,27151,813814C50,19256.35,Canadian Dollar,19256.35,Canadian Dollar,Cheque,1
2022/09/08 05:22,5,808406960,127593,80A3DE9A0,22520.31,Australian Dollar,22520.31,Australian Dollar,ACH,1
2022/09/11 11:05,48308,811EDA7A0,223,811A65E30,31774.15,Saudi Riyal,31774.15,Saudi Riyal,ACH,1
2022/09/01 22:54,70,100428780,14757,8059186D0,914569.94,Rupee,914569.94,Rupee,Cheque,1
2022/09/08 08:48,24941,809176AF0,8823,8079C0A30,5343.09,Euro,5343.09,Euro,ACH,1
2022/09/09 16:31,239604,80E857440,137218,80EB2B990,330.88,Swiss Franc,330.88,Swiss Franc,Cheque,0
2022/09/11 10:17,7548,8040AE4F0,15040,80780EAF0,1892.73,US Dollar,1892.73,US Dollar,ACH,1
2022/09/07 00:56,5394,80439A8F0,141690,8135E8460,96.87,US Dollar,96.87,US Dollar,Credit Card,0
2022/09/06 00:06,122545,808E60550,212,80826B320,36.75,UK Pound,36.75,UK Pound,Credit Card,0
2022/09/05 06:36,1267,8030004E0,113865,809326EF0,17964275.84,US Dollar,17964275.84,US Dollar,ACH,1
2022/09/03 12:45,18324,80FD90CF0,228921,812741660,173.36,US Dollar,173.36,US Dollar,Credit Card,0
2022/09/01 00:01,40312,80F0E8D60,40312,80F0E8D60,8.8,Swiss Franc,8.8,Swiss Franc,Reinvestment,0
2022/09/02 02:36,19746,8081B9C10,219860,810C826B0,3345.84,US Dollar,3345.84,US Dollar,Credit Card,0
2022/09/09 17:31,22,800564C30,1024,8013C78D0,79.26,Euro,79.26,Euro,Cheque,0
2022/09/01 04:04,54219,81431AAC1,54219,81431AAC1,0.000623,Bitcoin,0.000623,Bitcoin,Bitcoin,0
2022/09/09 06:02,1522,8009BA530,3514,806F8FF20,9532.83,Euro,9532.83,Euro,Cheque,0
2022/09/02 12:18,39775,80E9EEF30,138395,80E9EF930,3465.69,Swiss Franc,3465.69,Swiss Franc,ACH,1
2022/09/02 00:40,27616,806383A40,26818,80A0352D0,145.14,Euro,145.14,Euro,Cheque,0
2022/09/02 09:56,310743,803F4A2A0,19925,803F4A250,11852.29,Yen,11852.29,Yen,ACH,0
2022/09/08 06:53,21381,8030835C0,123997,80DADD7B0,12.7,US Dollar,12.7,US Dollar,Wire,0
2022/09/02 19:40,11157,800C0F200,1467,80238C470,0.65,US Dollar,0.65,US Dollar,Wire,0
2022/09/04 12:23,119,80FD556E0,217,810047850,1557.15,Shekel,1557.15,Shekel,Cash,0
2022/09/01 00:15,12561,8057A6500,11,803D28020,172.83,Euro,172.83,Euro,Credit Card,0
2022/09/03 08:27,16606,8064545E0,2454,80662A070,12331.0,US Dollar,12331.0,US Dollar,ACH,1
2022/09/09 06:43,125575,80982E450,12561,804E82A60,1534.26,Euro,1534.26,Euro,ACH,1
2022/09/03 22:20,228634,80A83C890,1588,812493FA0,1.5,US Dollar,1.5,US Dollar,Wire,0
2022/09/05 06:05,27564,80CFA2F30,6276,80CFA3200,2618.55,US Dollar,2618.55,US Dollar,ACH,1
2022/09/03 11:28,43049,81024EED0,26442,80AEBECB0,14539.33,US Dollar,14539.33,US Dollar,ACH,1
2022/09/01 17:03,128737,80A991810,128737,80A991810,4005.56,Australian Dollar,4005.56,Australian Dollar,Reinvestment,0
2022/09/07 17:48,11030,80CB65920,6,80A1FB9F0,9499.91,Australian Dollar,9499.91,Australian Dollar,ACH,1
2022/09/10 08:04,1502,8049B4840,120691,812C2B6E0,46948.71,Euro,46948.71,Euro,Cash,0
2022/09/06 10:23,5394,80476B3D0,28255,808166D60,2800.19,US Dollar,2800.19,US Dollar,Cheque,0
2022/09/06 16:12,210617,807481AF0,27140,807481DB0,3982.38,Euro,3982.38,Euro,ACH,1
2022/09/01 15:52,17610,80CEA4CD0,13083,8105A1090,440.91,Euro,440.91,Euro,Credit Card,0
2022/09/10 12:28,122080,80D3AF280,140561,8113405D0,1475.0,US Dollar,1475.0,US Dollar,Credit Card,0
2022/09/05 05:03,3335,801FC9720,12513,8069D8900,899.25,Euro,899.25,Euro,Cash,0
2022/09/01 02:47,23344,801B884B0,12963,801ED1A80,6450.6,Euro,6450.6,Euro,ACH,0
2022/09/09 20:31,23885,806B73430,122080,813375080,40.36,US Dollar,40.36,US Dollar,Wire,0
2022/09/01 00:26,6803,80A369C10,6803,80A369C10,21100.21,US Dollar,21100.21,US Dollar,Reinvestment,0
2022/09/05 22:23,221527,80B4A89D0,223041,813AEDDD0,63.88,US Dollar,63.88,US Dollar,Credit Card,0
2022/09/05 03:01,23146,802FE0E20,4,80D235940,29.76,Yuan,29.76,Yuan,Credit Card,0
2022/09/02 14:39,2843,800A4B110,22164,8015DADA0,9443.02,US Dollar,9443.02,US Dollar,ACH,1
2022/09/11 11:17,2991,8025D1EB0,27444,803C925B0,13658.31,US Dollar,13658.31,US Dollar,ACH,1
2022/09/07 22:50,908,801430F10,21174,8024EDA80,651.23,US Dollar,651.23,US Dollar,Cheque,0
2022/09/02 11:02,70,100428978,138335,80E81D550,1716.8,Swiss Franc,1716.8,Swiss Franc,Credit Card,1
2022/09/04 18:38,3420,8064EE0E0,110836,80D8A1BA0,1624.08,US Dollar,1624.08,US Dollar,Wire,0
2022/09/04 12:50,119,811B6E2B0,222,811D80C30,35234.38,Saudi Riyal,35234.38,Saudi Riyal,ACH,1
2022/09/01 00:09,315875,80E4F6BD0,315875,80E4F6BD0,40790.39,Rupee,40790.39,Rupee,Reinvestment,0
2022/09/01 00:11,15980,8045CACD0,44054,811A0BFC0,51464.32,US Dollar,51464.32,US Dollar,Cheque,0
2022/09/02 05:45,26024,80977DC70,26024,80977DC70,88106.72,Yuan,13154.97,US Dollar,ACH,0
2022/09/01 03:48,29685,80407AC60,15730,8052C9D20,244.67,US Dollar,244.67,US Dollar,Cheque,0
2022/09/07 16:25,13067,80B76EEA0,33739,80CDD3650,142089.36,Mexican Peso,142089.36,Mexican Peso,ACH,1
2022/09/06 18:24,70,1004286A8,115415,80782FFE0,32942.09,Euro,32942.09,Euro,Cash,0
2022/09/02 03:35,70,1004286A8,27217,80A19FC60,278.34,Euro,278.34,Euro,Credit Card,0
2022/09/09 17:07,50528,812D0C600,148350,812D0C3C0,14744.79,Saudi Riyal,14744.79,Saudi Riyal,ACH,1
2022/09/06 12:59,9679,803A23500,24,803AB34A0,561.01,Yen,561.01,Yen,ACH,0
2022/09/01 16:17,70,1004286F0,3,80751BDA0,2190.9,Yuan,2190.9,Yuan,Credit Card,0
2022/09/01 14:15,36932,80F1AF780,23885,80F1AF9B0,361.0,US Dollar,361.0,US Dollar,ACH,1
2022/09/10 13:33,13029,804EF6FF0,16,805424040,70204094.2,Rupee,70204094.2,Rupee,Cash,0
2022/09/03 17:36,219449,80DEB15D0,129974,80C6E9A60,13726.47,US Dollar,13726.47,US Dollar,ACH,1
2022/09/01 02:36,1601,8013BB600,1674,8027DA060,4581.34,US Dollar,4581.34,US Dollar,Credit Card,0
2022/09/05 02:01,16678,80621F640,16678,80661E3D0,27007.03,Ruble,27007.03,Ruble,Cheque,0
2022/09/01 11:41,70,1004286A8,27535,81096C2E0,3027.69,Euro,3027.69,Euro,Cheque,1
2022/09/01 17:43,10060,8040CF6D0,10060,8040CF6D0,31431141.09,Yen,31431141.09,Yen,Reinvestment,0
2022/09/06 15:21,235874,80D76EB80,226350,80B68FE00,13647.44,Euro,13647.44,Euro,ACH,1
2022/09/03 06:46,222697,8085DD9A0,8798,80693AB90,15015.96,US Dollar,15015.96,US Dollar,ACH,1
2022/09/09 20:22,6,8000AB4A0,6,80A10F330,1410044.45,Australian Dollar,1410044.45,Australian Dollar,ACH,0
2022/09/08 21:55,11974,802DAEEC0,28255,8050A3940,226.15,US Dollar,226.15,US Dollar,Credit Card,0
2022/09/07 22:15,22091,808AB4570,222268,80900E440,314.82,UK Pound,314.82,UK Pound,Cheque,0
2022/09/07 13:50,222,811B83280,119,811C597B0,64634.28,Saudi Riyal,64634.28,Saudi Riyal,ACH,1
2022/09/07 02:55,10,8002C8950,21258,800D4B340,989.98,US Dollar,989.98,US Dollar,Credit Card,0
2022/09/10 05:29,22205,8016723A0,11405,80C0DE7B0,140.72,US Dollar,140.72,US Dollar,Credit Card,0
2022/09/01 19:43,232154,80BB67220,232154,80BB67220,7.25,Euro,7.25,Euro,Reinvestment,0
2022/09/08 08:15,10,800220380,21611,801665530,954.63,US Dollar,954.63,US Dollar,ACH,0
2022/09/05 16:21,14650,801EA1CE0,112931,805D4C850,840441.34,Rupee,840441.34,Rupee,ACH,1
2022/09/06 19:04,12,80010E130,20,800275570,219.32,Euro,219.32,Euro,Cheque,0
2022/09/01 16:59,240304,80EB746F0,117,80F4BEC70,14371.57,Swiss Franc,14371.57,Swiss Franc,Cheque,0
2022/09/01 09:19,28771,8081D5AC0,138101,8105ABEB0,129.94,US Dollar,129.94,US Dollar,Cheque,0
2022/09/09 05:46,240304,80F1F8550,13067,809888C90,195643766.27,Yuan,195643766.27,Yuan,ACH,1
2022/09/09 05:22,27637,8052DA160,123288,813362110,21135.34,US Dollar,21135.34,US Dollar,Credit Card,0
2022/09/04 13:26,25534,80963CB30,13554,805811F40,1181.51,Euro,1181.51,Euro,ACH,1
2022/09/06 18:58,13327,80D1525F0,34183,80D152F60,4184.08,US Dollar,4184.08,US Dollar,ACH,1
2022/09/01 00:20,70,100428978,138335,80E577B10,16383.25,Swiss Franc,16383.25,Swiss Franc,Credit Card,0
2022/09/07 09:55,70,1004286F0,9691,80B14E750,1668.33,Yuan,1668.33,Yuan,Cheque,1
2022/09/12 12:09,410,8003AA6D0,11,8001D5B50,14614.89,Euro,14614.89,Euro,ACH,1
2022/09/09 00:35,70,1004288A0,127999,80A50A8D0,2589.69,Australian Dollar,2589.69,Australian Dollar,Cheque,0
2022/09/07 10:36,28827,80EC53970,22732,80EC539C0,2774.41,US Dollar,2774.41,US Dollar,ACH,1
2022/09/05 04:56,29191,8114B6040,130637,80D286160,1833.72,US Dollar,1833.72,US Dollar,ACH,1
2022/09/01 00:29,2947,80E4A7870,2947,80E4A7870,11856.6,US Dollar,11856.6,US Dollar,Reinvestment,0
2022/09/08 13:05,30851,80D7B5520,8623,81121D130,617.97,US Dollar,617.97,US Dollar,Cheque,0
2022/09/06 22:20,16678,80610D920,116781,806ABEEE0,854894.61,Ruble,854894.61,Ruble,Cheque,0
2022/09/09 02:30,1547,800A00BD0,4259,801AEF7C0,2542.89,Euro,2542.89,Euro,Credit Card,0
2022/09/09 16:00,1665,801F86B70,1467,8005CC8D0,13674.36,US Dollar,13674.36,US Dollar,ACH,1
2022/09/02 16:11,70,1004287C8,117070,8073A3D10,10708.05,Ruble,10708.05,Ruble,Credit Card,0
2022/09/01 00:23,51222,813121990,51222,813121990,16.88,US Dollar,16.88,US Dollar,Reinvestment,0
2022/09/01 00:14,139793,80F2F2500,139793,80F2F2500,903660.06,Swiss Franc,903660.06,Swiss Franc,Reinvestment,0
2022/09/04 00:28,243947,8108D9EC0,1198,81061AFE0,272.44,Shekel,272.44,Shekel,Credit Card,0
2022/09/09 10:36,70,1004288E8,134263,80CBB3060,3855.4,Mexican Peso,3855.4,Mexican Peso,Cheque,1
2022/09/02 06:28,11852,808046870,17863,809FBCE30,49.99,Euro,49.99,Euro,Cash,0
2022/09/01 00:26,316804,806D6D090,316804,806D6D090,41357.06,Ruble,41357.06,Ruble,Reinvestment,0
2022/09/15 10:11,28,8000B8AB0,1,8001C5A50,2065.67,US Dollar,2065.67,US Dollar,ACH,1
2022/09/05 21:51,25981,803330DF0,8888,80DE49790,23199483.55,Euro,23199483.55,Euro,ACH,1
2022/09/01 08:04,7675,80BAD8B90,8455,81446FEE0,9212.89,Euro,9212.89,Euro,ACH,0
2022/09/09 16:11,70,100428660,19601,80C1092F0,1522.35,US Dollar,1522.35,US Dollar,Cheque,0
2022/09/01 00:16,24941,809918A10,24941,809918A10,7.27,Canadian Dollar,7.27,Canadian Dollar,Reinvestment,0
2022/09/09 22:53,131086,80C602C50,33727,80C851010,15559.53,Mexican Peso,15559.53,Mexican Peso,Cheque,0
2022/09/01 02:33,210,8090EDCF0,19,8094AFB30,391.35,Canadian Dollar,391.35,Canadian Dollar,Cheque,0
2022/09/03 00:17,28094,80A5D3F20,28690,80B071080,47.28,Australian Dollar,47.28,Australian Dollar,Credit Card,0
2022/09/09 06:17,238845,80E2B0800,117,80F03CC90,28993.95,Swiss Franc,28993.95,Swiss Franc,Cash,0
2022/09/02 15:33,18097,803686E40,229227,80B92F4F0,5277.35,Yuan,5277.35,Yuan,ACH,0
2022/09/09 21:44,11904,802B2DA40,701,8066FE730,6882.98,US Dollar,6882.98,US Dollar,Credit Card,0
2022/09/03 00:21,112497,804B16D80,113090,8053C2100,11288.11,Rupee,11288.11,Rupee,Cash,0
2022/09/01 15:19,4242,802668F00,4523,80D0A0E70,2370.82,US Dollar,2370.82,US Dollar,Credit Card,0
2022/09/01 20:51,211075,8091C41E0,211075,8091C41E0,16.18,US Dollar,16.18,US Dollar,Reinvestment,0
2022/09/10 14:04,7,804791410,12,804BC4670,15665430.65,Rupee,15665430.65,Rupee,Cheque,0
2022/09/12 19:37,12,80A42A870,11128,80465E020,1327255.9,Yen,1327255.9,Yen,ACH,1
2022/09/09 22:50,113,8000D6620,217,80E221520,406206.24,Shekel,406206.24,Shekel,Cheque,0
2022/09/09 00:22,1299,801738780,17854,80696A930,15299.99,Euro,15299.99,Euro,Credit Card,0
2022/09/08 00:15,29251,806846F90,113744,806F6CD80,4012.12,US Dollar,4012.12,US Dollar,ACH,0
2022/09/06 12:14,22806,801F99700,1299,80D91B750,936.18,Euro,936.18,Euro,Cheque,0
2022/09/01 03:04,140304,80F08F510,140304,80F08F510,545511.97,Swiss Franc,545511.97,Swiss Franc,Reinvestment,0
2022/09/09 03:09,1688,80045B7C0,6276,80C6D2490,3437.53,US Dollar,3437.53,US Dollar,Cheque,0
2022/09/03 11:24,122055,809A17220,214050,805F2B680,1009932.52,Rupee,1009932.52,Rupee,ACH,1
2022/09/02 23:17,70,100428660,20898,80824A2C0,115.03,US Dollar,115.03,US Dollar,Credit Card,0
2022/09/01 00:14,16649,806AA4210,218638,8073AD240,9822.2,Ruble,9822.2,Ruble,Credit Card,0
